"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",87.9355311355,1.3293956044,48.3377289377,2.71538461538,20.1137362637,76.7399267399,233.208333333,5.84100899101,12.9737179487,340.147069597,241.495970696,28.1885447885,62.3542124542,0.879395604396,273.297252747,1.83553113553,135.382051282,0.5,1.25319204605
"2",7.08333333333,0.46978021978,4.48168498168,149.607142857,14.8721611722,360.677355977,18.4816849817,347.401515152,11.8095238095,64.7336763237,26.4880952381,68.1924242424,7.96978021978,170.142857143,6.56666666667,220.053113553,32.0769230769,5.50116550117,10.9049188906
"3",23.0833333333,3.0,157.0,1.0,3.86904761905,168.5,23.5,4.99025974026,14.5,2.53571428571,9.5,124.310606061,371.833333333,1.0,82.130952381,3.91666666667,98.0,3.33333333333,1.28571428571
"4",101.006593407,207.27985348,2.51318681319,4.54615384615,90.8578754579,61.5864468864,165.583333333,5.46393606394,24.9461538462,105.047875458,11.5426739927,5.24918414918,4.85311355311,10.2131868132,3.71794871795,2.83992673993,282.146153846,2.0,0.8905285191
"5",2.00659340659,0.513186813187,1.51318681319,458.662820513,2.51978021978,2.71978021978,4.36666666667,138.35960706,329.281868132,5.01978021978,3.57124542125,4.5374958375,5.10311355311,2.51318681319,7.35604395604,3.50659340659,1.37948717949,1.0,10.698744113
"6",2.16666666667,1.0,0,71.1666666667,8.0,20.0833333333,15.8333333333,201.113636364,26.5,1.25,3.0,5.34848484848,71.5833333333,18.0,4.39285714286,224.666666667,3.83333333333,0,34.3945578231
"LGb",0.5,0,0,0,54.0,0,0,0,0,0,0,0,0.5,1.0,0,0,0,0,0
"LGc",0,0,0.333333333333,0,0,0,0.5,0,0.333333333333,0,3.0,0,0,0,0,0.5,0,1.0,45.3333333333
"LGa",0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,20.0,0,0,0,0
"LGf",0,0,0,0,0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,55.9230769231
"LGh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0
"LGg",0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0
