"1","2","3","4","5","6","7","8","Un","X"
"1",5,66,13,494,0,3,245,645,42,1
"2",340,584,4,5,1,0,1,2,10,0
"3",6,9,530,2,2,42,0,6,1,0
"4",34,2,2,0,519,4,2,1,9,28
"5",415,1,1,1,227,1,0,3,49,1
"6",1,1,4,1,0,86,0,269,30,0
"7",0,31,0,239,0,0,109,0,8,0
"8",395,1,6,1,2,1,10,0,18,0
"9",0,3,0,4,0,1,1,0,13,162
"10",11,366,0,1,2,4,2,0,17,1
"11",1,67,1,60,1,0,184,1,9,0
"12",314,4,0,1,0,0,0,2,0,0
"13",273,0,0,2,0,1,0,1,0,3
"14",6,1,0,1,0,242,0,0,7,1
"15",241,0,0,0,0,0,0,0,0,0
"16",1,1,0,2,0,318,0,1,0,0
"17",0,0,242,0,0,0,0,1,19,0
"18",0,5,1,0,0,0,0,0,0,0
"19",210,4,0,1,0,1,0,0,0,0
"20",0,205,0,4,0,2,0,0,9,0
"21",4,206,0,1,0,2,9,2,12,1
"22",263,2,3,0,1,0,0,0,2,0
"23",2,16,0,154,0,0,0,0,15,0
"24",79,0,0,0,0,1,0,0,0,0
"25",0,0,0,160,0,0,0,0,2,0
"26",0,0,0,131,0,0,0,0,1,0
"27",0,41,0,0,0,1,1,0,0,0
"28",0,164,1,1,0,1,0,0,0,0
"29",2,143,1,0,0,0,0,1,2,0
"30",2,0,149,0,0,0,0,0,4,0
"W",0,0,0,0,0,0,0,0,0,0
"Z",9,1,221,0,13,196,0,2,1,0
