"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",12,1,64,68,61,5,2,3,189,2,294,4,223,3,3,2,1,20,7,118
"2",83,33,6,310,6,114,102,7,142,97,0,7,199,4,9,44,2,120,0,5
"3",417,3,293,0,0,1,147,2,34,77,1,1,3,75,23,4,76,0,0,2
"4",0,3,28,0,2,1,3,557,1,0,3,3,1,22,49,1,49,0,0,0
"5",215,311,9,3,3,4,307,2,25,2,0,1,0,10,2,2,2,1,0,6
"6",1,0,4,4,2,3,1,9,1,0,2,0,1,493,1,0,0,2,0,0
"7",2,4,1,0,3,0,2,1,4,1,0,0,54,0,415,0,0,1,0,1
"8",8,0,0,107,3,180,0,0,33,22,1,1,0,2,0,1,1,0,0,1
"9",0,1,4,3,0,4,0,0,2,0,0,3,274,2,113,1,1,1,0,1
"10",246,2,0,0,0,1,135,0,0,0,0,0,0,2,0,0,0,0,0,2
"11",1,0,0,1,1,227,3,0,0,1,0,0,3,0,0,0,8,0,0,1
"12",0,1,22,4,0,0,5,4,2,0,0,0,281,1,0,0,0,1,0,5
"13",0,188,4,0,0,0,3,2,0,0,0,2,1,2,0,93,0,0,0,1
"14",1,0,260,2,0,1,1,1,0,9,0,10,1,2,0,0,0,0,0,3
"15",0,0,1,0,0,0,0,0,2,0,0,1,1,303,1,0,0,0,0,0
"1A",3,3,4,51,541,1,68,0,71,49,0,0,7,1,0,0,6,132,1,11
"24",0,0,0,0,2,1,2,0,157,0,3,0,0,0,1,0,0,0,0,0
"18",0,0,3,1,0,0,1,0,0,2,0,247,3,0,1,1,0,0,0,0
"1B",1,0,0,0,0,1,0,0,16,0,0,0,10,0,0,0,0,0,0,0
"20",4,0,0,0,1,4,1,0,0,1,2,0,1,1,0,0,279,1,0,0
"21",1,1,1,1,0,146,1,0,0,0,0,2,6,0,0,0,0,1,0,0
"22",0,0,23,1,0,0,1,0,0,0,0,0,0,17,18,0,22,11,0,1
"23",1,0,2,0,0,140,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"LG2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,60,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"26",1,0,1,42,1,1,52,1,26,25,0,1,2,3,0,0,0,1,0,0
"27",0,10,1,0,1,0,15,0,1,1,0,147,0,0,0,0,0,0,0,1
"28",3,159,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1
"Un",172,801,112,158,194,198,743,89,125,46,56,111,236,224,93,43,61,40,3,75
"Z",279,188,2,0,3,13,10,8,1,69,0,3,3,13,6,149,12,0,0,5
"4A",5,1,2,4,0,8,3,5,4,3,5,2,5,3,2,2,1,1,0,256
"17",230,1,1,1,0,3,4,2,4,1,0,1,3,1,0,0,0,0,0,0
"19",1,3,70,0,0,1,2,1,4,1,1,205,1,0,1,1,0,7,0,0
