"1","2","3","4","5","6","7","8","Un","X"
"1",507.09202034,504.217952427,31.8176018921,123.416752006,182.498722328,3.6280616494,80.107106235,41.7062690036,72.1582176527,12.3666666667
"2",209.623386652,285.453100199,306.25618649,36.2585880754,11.155266363,409.156992754,6.43076897073,42.1665852339,59.0201851697,62.75
"3",156.137223299,78.8540531565,11.0042354411,397.969691265,16.8227518852,4.9492324092,412.333865255,5.2992427588,16.8615785702,3.5
"4",218.563172043,432.501981567,390.825729647,5.61244239631,20.9403225806,12.0258064516,10.7433947773,8.48248847926,16.9191628264,3.16666666667
"5",22.8392788456,14.7835297166,12.0564319434,7.90638823324,324.493322343,5.90980011989,4.49381564323,528.341238932,30.9511971768,6.25
"6",31.2369175627,228.536917563,23.8876344086,20.9612007168,19.5985919099,98.0876344086,3.00286738351,227.913351254,38.5333333333,1.0
"LGb",0,0.5,50.0,0,0,0,0.5,0,0,0
"LGc",47.0,1.75,0.25,0.5,0,0.5,0,0,0,0
"LGa",2.0,0.5,0,18.5,0,0,0,0,0,0
"LGf",1.5,1.0,0,47.0,0,0,0,0,2.92307692308,0
"LGh",0,0,0,3.0,0,0,0,0,0,0
"LGg",2.0,0,0,0,0,0,0,0,0,0
