"1","2","3","4","5","6","LGb","LGc","LGa","LGf","LGh","LGg"
"1",55.5833333333,33.75,603.5,7.75,595.083333333,3.0,0,0,0,0,0,0
"2",707.416666667,36.5,0.416666666667,27.6666666667,5.5,0,0,0,0,0.5,0,0
"3",3.5,4.08333333333,1.0,380.0,2.5,55.5,0,0,0,0,0,0
"4",2.5,14.4166666667,10.75,18.0,323.333333333,37.5,0,0,0,0,0,0
"5",488.369047619,27.5,3.42857142857,2.41666666667,1.80952380952,2.64285714286,0,0,0,0,0,0
"6",20.6428571429,1.75,0,3.42857142857,1.42857142857,326.0,0,0,0,0,0,0
"7",166.0,14.0,1.0,9.0,0,3.0,0,0,0,0,0,0
"8",7.0,4.5,153.0,2.0,3.0,0,0,0,0.5,0,0,0
"9",1.16666666667,0.5,3.66666666667,2.0,2.0,0,0,0,0,0,0,0
"10",0,6.0,1.0,244.666666667,1.0,0,0,0,0,0,0,0
"11",1.5,1.25,258.583333333,1.0,0.666666666667,0,0,0,0,0,0,0
"12",1.0,0.333333333333,1.0,3.0,1.0,0.5,0,0,0,0,0,0
"13",3.0,3.0,1.0,1.0,10.0,0,0,50.0,0,0,0,0
"14",0.5,237.75,1.0,6.0,0.25,0,0,0,0,0,0,0
"15",28.0,142.0,0.5,16.0,1.5,0.5,0,0,0,0,0,0
"16",0,5.0,2.0,0.5,0,0,0,0,0,0,0,0
"17",1.33333333333,1.0,1.33333333333,1.0,1.0,1.5,53.3333333333,0,0,0,0,0
"18",0,7.5,0,0,0,0,0,0,0,0,0,0
"19",1.0,4.0,2.0,2.0,1.0,1.0,0,0,0,0,0,2.0
"20",0,188.5,0,0,0.5,0,0,0,0,0,0,0
"21",0.5,5.5,3.0,1.5,2.5,0,0,0.5,0,0,0,0
"22",4.5,1.0,0.5,142.0,0.5,0.5,0,0.5,0,0,0,0
"23",0,0,0.5,0,0,0,0,0,0,0,3.0,0
"24",1.0,0.5,0,0,0,1.0,0,0,1.5,0,0,0
"25",1.5,0,0,0.333333333333,0,0,0,0,0,0,0,0
"26",0,0,1.0,0,0,0,0,0,19.0,0,0,0
"28",1.75,3.0,0,142.0,0.25,0.5,0,0,0,0,0,0
"29",0,1.0,0.333333333333,0.5,1.25,155.416666667,0,0,0,0,0,0
"30",0,0.5,0,0,1.0,0.5,0,0,0,0,0,0
"Z",16.0,280.833333333,0.5,2.33333333333,0.576923076923,1.0,0,0,0,0.923076923077,0,0
