"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",115,9,2,66,0,0,80,190,2,59,5,222,1,3,0,5,122,198,35,2,61,31,34,31,33,2,0,2,0,43,9,1,27,0,1,7,75,28,19
"2",106,76,75,104,35,6,12,22,175,41,141,53,1,2,2,5,14,2,1,341,2,0,1,1,10,3,102,1,0,2,1,1,3,0,6,2,15,3,59
"3",0,0,13,31,27,3,20,0,0,19,0,0,1,1,0,2,9,2,16,3,52,110,85,1,119,2,0,126,0,0,112,1,86,87,1,0,11,2,124
"4",36,26,17,6,60,102,112,5,2,1,7,53,90,1,77,2,38,0,0,3,1,0,2,164,6,2,1,2,112,4,2,0,1,27,46,0,4,29,3
"5",2,26,36,0,17,1,1,0,2,185,0,2,43,50,149,82,4,50,46,3,1,0,0,0,2,1,140,0,0,1,2,93,1,0,0,0,0,1,1
"6",35,71,0,1,0,0,7,1,226,0,16,0,14,138,1,43,17,31,0,2,0,0,66,0,0,2,0,0,1,2,0,3,0,10,0,0,1,0,3
"LGb",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGc",0,14,0,0,24,1,0,3,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGa",0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LGh",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
