"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",254,2,2,16,11,9,11,15,16,14,12,32,707,2,5,2,751,3,5
"2",5,5,4,9,12,17,21,21,133,5,18,24,7,442,7,7,712,2,6
"3",10,6,8,984,8,15,557,19,14,15,16,15,6,240,10,6,16,6,10
"4",2,0,2,4,4,2,2,644,8,4,4,12,2,4,2,4,6,3,4
"5",5,0,3,6,5,506,4,492,15,3,4,11,2,5,3,3,0,1,7
"6",1,1,4,1,2,5,1,8,479,7,5,8,3,0,3,2,3,1,3
"7",1,0,1,3,1,66,5,6,7,6,698,10,3,1,2,1,5,0,4
"8",2,2,3,4,1,4,3,4,4,405,2,10,3,1,1,1,4,2,2
"9",5,357,1,1,1,3,6,2,4,23,4,6,2,0,1,1,7,3,3
"10",1,0,1,2,2,296,0,3,2,1,4,9,1,2,2,2,3,1,2
"11",0,1,1,4,2,6,2,3,6,2,4,8,4,2,4,1031,8,1,2
"12",368,1,1,4,2,2,1,4,4,0,3,6,6,0,1,1,141,0,1
"13",0,0,2,139,5,3,490,4,6,5,3,5,1,3,2,4,4,2,3
"14",2,0,2,2,4,5,6,9,5,7,3,5,5,1,4,5,3,1,992
"15",4,2,2,4,2,7,2,4,4,1,4,5,3,0,703,0,5,0,5
"16",7,0,1,3,1,260,1,2,4,2,0,8,1,5,0,1,2,0,1
"17",2,0,4,8,381,2,1,6,113,3,6,7,3,2,2,1,1,0,1
"18",5,0,0,3,0,1,1,3,3,4,393,9,1,1,1,0,4,0,21
"19",0,1,0,1,1,0,0,359,0,1,3,7,91,0,0,1,1,2,2
"20",0,3,3,1,1,3,2,3,2,543,3,4,2,1,2,0,8,1,1
"21",3,0,1,6,5,5,5,3,5,1,2,6,2,1,534,0,6,1,2
"22",2,1,319,1,1,0,2,4,4,1,1,3,0,0,3,0,3,0,3
"23",2,2,0,1,247,2,2,2,0,1,1,1,0,2,3,1,3,1,0
"24",0,1,0,2,2,1,3,4,4,2,0,0,0,2,2,1,3,607,2
"25",4,0,246,2,0,3,2,4,1,0,2,2,2,0,10,1,1,0,0
"26",0,0,0,2,1,0,2,3,176,1,2,2,12,0,3,0,2,0,2
"X",6,8,7,16,12,15,12,10,11,10,23,686,8,2,9,7,10,5,16
