"1","2","3","4","5","6","7","8","Un","X"
"1",54,111,79,626,13,31,319,788,71,32
"2",408,698,16,18,4,4,2,7,31,3
"3",19,17,621,10,9,50,7,13,7,10
"4",61,9,7,9,616,6,5,5,14,42
"5",503,6,10,6,304,6,3,11,60,6
"6",8,7,15,10,2,112,3,310,43,3
"7",7,49,4,273,1,3,126,0,12,2
"8",487,4,7,1,10,4,12,1,23,1
"9",5,9,9,16,5,6,5,7,19,194
"10",22,422,3,4,2,7,2,0,22,4
"11",5,84,16,69,5,1,208,8,15,1
"12",367,11,9,2,3,4,3,5,1,7
"13",311,6,45,6,21,2,2,5,3,4
"14",11,17,4,6,3,280,2,3,9,2
"15",295,5,2,2,6,2,2,5,0,7
"16",6,8,11,6,3,355,2,2,1,0
"17",4,3,279,3,1,2,2,3,22,1
"18",0,7,2,1,0,0,0,0,0,0
"19",244,9,6,4,3,1,1,1,2,1
"20",4,234,1,5,1,3,4,1,13,0
"21",6,245,1,6,8,5,9,5,17,2
"22",294,4,9,2,27,2,3,2,4,0
"23",2,20,2,176,0,2,4,3,21,0
"24",90,1,0,0,0,1,1,1,1,0
"25",1,10,4,175,1,0,0,2,2,1
"26",0,4,1,148,2,1,0,0,1,1
"27",2,44,1,0,0,1,1,0,0,0
"28",2,194,2,4,3,1,0,1,2,0
"29",2,167,4,3,1,6,0,3,3,2
"30",7,0,191,3,2,1,1,2,30,4
"W",0,0,2,0,0,1,0,1,0,0
"Z",58,13,287,2,20,241,2,4,30,1
