"1","2","3","4","5","6","7","8","Un","X"
"1",484,491,25,111,173,0,77,37,67,8
"2",195,266,292,26,5,390,1,34,54,56
"3",148,69,6,384,13,3,399,1,13,0
"4",205,420,376,2,17,9,6,4,12,1
"5",17,6,6,6,312,1,2,508,24,1
"6",29,218,18,19,18,94,2,221,36,0
"LGb",0,0,49,0,0,0,0,0,0,0
"LGc",45,1,0,0,0,0,0,0,0,0
"LGa",2,0,0,18,0,0,0,0,0,0
"LGf",1,1,0,47,0,0,0,0,2,0
"LGh",0,0,0,3,0,0,0,0,0,0
"LGg",2,0,0,0,0,0,0,0,0,0
