"1","2","3","4","5","6","LGb","LGc","LGa","LGf","LGh","LGg"
"1",52,26,594,5,589,2,0,0,0,0,0,0
"2",703,36,0,27,5,0,0,0,0,0,0,0
"3",3,2,1,376,2,54,0,0,0,0,0,0
"4",2,11,9,17,318,37,0,0,0,0,0,0
"5",480,25,2,1,1,1,0,0,0,0,0,0
"6",20,1,0,3,0,322,0,0,0,0,0,0
"7",164,13,1,9,0,2,0,0,0,0,0,0
"8",7,4,151,2,1,0,0,0,0,0,0,0
"9",1,0,2,2,1,0,0,0,0,0,0,0
"10",0,5,1,241,1,0,0,0,0,0,0,0
"11",1,1,256,1,0,0,0,0,0,0,0,0
"12",1,0,1,3,1,0,0,0,0,0,0,0
"13",3,3,1,1,10,0,0,50,0,0,0,0
"14",0,236,1,5,0,0,0,0,0,0,0,0
"15",27,139,0,16,0,0,0,0,0,0,0,0
"16",0,4,1,0,0,0,0,0,0,0,0,0
"17",1,1,1,1,1,1,53,0,0,0,0,0
"18",0,7,0,0,0,0,0,0,0,0,0,0
"19",1,4,2,1,1,1,0,0,0,0,0,2
"20",0,187,0,0,0,0,0,0,0,0,0,0
"21",0,5,3,1,2,0,0,0,0,0,0,0
"22",3,1,0,139,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,3,0
"24",1,0,0,0,0,1,0,0,1,0,0,0
"25",1,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,19,0,0,0
"28",1,3,0,139,0,0,0,0,0,0,0,0
"29",0,0,0,0,1,152,0,0,0,0,0,0
"30",0,0,0,0,1,0,0,0,0,0,0,0
"Z",15,278,0,1,0,1,0,0,0,0,0,0
