"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",1080,85,275,19,0,2,7,0,0,33,2,1,1,291,387,1,0,0,0,0,0,373,0,299,253,0,69,0,0,1,0,4
"2",49,127,0,0,729,53,0,2,0,231,744,1,104,12,1,2,1,1,33,315,7,0,1,0,0,13,0,0,0,137,106,0
"3",0,0,2,1,0,0,209,469,323,2,1,0,1,140,2,0,0,0,1,93,277,0,7,0,2,0,0,0,0,0,0,1
"4",1,396,1,1,0,1,440,0,0,238,1,0,1,2,0,35,124,256,141,4,0,0,0,1,0,104,1,0,0,0,0,56
"5",3,182,338,0,0,0,110,0,0,0,0,229,0,0,17,0,0,0,1,0,0,17,0,0,0,0,73,0,0,0,0,1
"6",0,0,0,64,0,0,1,0,1,1,38,1,397,37,1,319,0,1,0,0,0,0,172,0,124,0,0,0,0,0,0,4
"7",11,1,0,0,8,129,0,0,0,1,9,0,1,0,54,57,125,49,107,1,0,0,0,0,0,11,0,0,0,0,0,64
"8",1,0,0,366,0,272,0,0,1,0,3,69,0,0,1,102,0,0,0,1,0,1,0,0,0,0,0,256,122,0,0,1
"Un",25,23,0,33,8,63,2,17,0,42,24,68,2,1,13,5,0,2,9,0,4,2,6,0,0,4,0,30,0,0,0,19
"X",0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,256
