"1","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","X","2a","2b"
"1",1593,0,44,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
"2",0,850,0,2,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0
"3",2,2,0,1,1,687,0,4,0,0,0,0,2,1,1,0,0,1,0,153,0,1,0,1
"4",3,3,0,1,819,2,2,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1
"5",0,0,562,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
"6",1,1,0,449,1,2,1,0,0,0,0,0,0,0,0,247,0,0,0,0,1,1,0,0
"7",0,0,2,0,1,0,0,0,0,0,0,1,502,461,0,0,0,0,0,0,1,1,1,0
"8",1,0,0,1,1,0,536,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9",2,1,1,2,2,0,0,0,595,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0
"10",1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,459,0,335,0,0,0
"11",0,43,2,1,1,0,1,0,0,0,854,0,1,1,0,0,0,0,0,0,1,0,1,0
"12",2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,449
"13",2,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,518,74
"14",0,2,0,0,0,1,1,1,0,970,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"15",0,1,0,2,0,2,0,596,1,1,0,1,1,1,0,0,0,0,0,0,1,3,2,0
"16",0,0,0,713,0,2,0,1,0,0,2,0,0,0,0,214,0,0,0,0,0,0,0,2
"17",0,0,0,0,0,0,0,0,1,0,0,268,0,0,0,0,0,0,0,0,0,0,0,1
"18",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,222,0,0,0,0,1,0,1
"19",0,1,1,2,0,1,0,0,0,1,0,0,1,0,0,1,1,1003,0,0,0,0,0,0
"20",1,1,1,0,0,0,0,0,0,0,1,0,0,1,637,0,1,1,0,0,0,0,0,0
"X",3,1,1,1,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,595,0,0
