"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","X"
"1",196,6,95,9,0,0,1,0,0,208,1,6,0,1,76,0,0,6,0,1,39,0,1,1,0,0,102
"2",26,23,3,178,8,1,3,0,229,0,3,2,66,3,0,47,1,1,82,74,0,0,117,0,0,8,1
"3",4,31,202,0,1,0,1,312,12,1,1,80,55,0,0,0,1,1,0,109,2,0,0,0,48,9,0
"4",0,18,21,0,0,286,0,0,0,0,1,0,11,0,0,0,82,0,0,0,0,0,0,1,0,63,0
"5",0,1,1,0,1,0,239,0,1,0,0,0,0,0,145,0,0,102,0,1,116,0,0,0,0,0,0
"6",0,1,2,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,211,0,0,126,0,0
"7",54,288,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",220,1,0,0,0,0,1,1,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",235,49,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"10",0,0,0,0,0,0,127,0,1,0,0,0,0,0,0,0,1,140,0,0,0,0,0,0,0,0,0
"11",1,1,0,0,0,0,1,0,0,0,0,0,0,254,0,0,0,0,2,0,0,0,0,0,0,0,0
"12",1,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,213,0,0,0,0,0,0,0,3
"13",0,0,0,0,170,0,5,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"14",1,0,1,0,0,0,1,0,1,0,27,0,0,1,0,0,0,0,0,0,0,0,0,247,2,0,1
"15",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,1,0,0,0,0,0,0
"1A",3,0,425,133,1,0,0,0,0,0,1,0,31,1,0,0,0,0,0,2,0,0,0,0,0,0,1
"24",0,0,1,0,0,0,0,0,0,1,0,0,0,1,77,0,0,1,0,0,34,0,0,0,0,0,0
"18",1,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1B",14,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,0,0,0,0,0,2,0,1,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",4,10,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,13,18,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,29,0
"23",47,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"25",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",37,0,0,0,0,0,0,1,0,0,0,41,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0
"27",0,0,2,0,0,0,5,0,0,0,121,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"28",0,0,1,0,147,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Un",44,16,80,5,33,3,4,1,6,0,24,10,6,29,7,3,0,3,6,7,13,0,6,10,0,0,9
"Z",2,227,2,1,82,7,40,0,1,0,1,0,1,2,3,128,0,0,1,0,0,0,21,0,0,8,0
"4A",3,2,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,179
"17",1,34,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"19",0,0,0,1,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1
