"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",0,0,0,0,0,0,0,1,3,2,0,0,623,0,0,0,2,0,0
"2",0,0,0,0,0,2,1,1,0,1,2,1,1,0,0,0,644,0,0
"3",226,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,672,0,1
"4",0,0,0,0,0,1,0,524,0,0,0,2,0,0,0,1,0,0,0
"5",0,0,0,890,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,1,0,0,1,0,1,430,0,0,0,0,0,0,0,1,0,0
"7",0,0,0,1,0,450,0,437,1,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,5,0,103,0,0,0,0,395,0,0,0,0,1
"9",0,0,0,0,0,0,0,1,0,362,0,0,0,0,0,0,1,0,0
"10",0,0,0,0,0,60,0,0,0,1,647,1,0,0,0,0,0,0,0
"11",0,0,0,1,0,0,499,0,1,0,0,0,0,246,12,0,0,0,0
"12",0,0,0,0,0,261,0,0,0,0,0,1,0,0,0,0,0,0,0
"13",0,0,0,125,0,0,450,0,0,1,0,0,0,0,1,1,1,0,0
"14",0,333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"15",0,1,0,0,0,0,0,0,0,0,1,0,0,0,628,0,0,0,0
"16",335,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,118,0,0
"17",0,0,0,0,340,1,0,1,103,0,0,0,0,0,0,0,0,0,2
"18",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,821
"19",0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,926,0,0,0
"20",1,0,0,0,0,235,0,0,1,0,0,0,0,0,1,0,1,0,0
"21",0,0,0,1,0,0,0,0,1,0,376,0,0,0,2,0,0,0,1
"22",0,0,0,0,0,0,1,351,0,0,0,0,86,0,0,0,0,0,0
"23",0,0,0,0,0,1,0,0,0,455,0,0,0,0,0,0,0,0,1
"24",0,0,0,0,223,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,576,0
"26",0,0,291,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,147,0,0,0,9,0,0,0,0,0,0
"28",1,0,218,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,1,0,0,428,0,0,0,0
"X",0,0,0,1,1,1,0,1,0,0,1,531,0,0,0,0,0,0,2
