"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",311,242,171,2,1,3,237,2,36,53,39,1,54,53,131,20,38,2,0,21
"2",122,306,28,12,119,7,86,5,3,32,5,169,232,15,21,114,2,0,0,50
"3",5,4,22,32,0,2,1,1,79,0,149,1,336,156,78,1,1,0,0,104
"4",45,30,1,321,3,157,99,17,59,25,0,1,5,10,5,28,116,1,0,3
"5",4,2,4,2,372,7,2,253,52,21,0,2,1,4,31,0,17,80,1,1
"6",18,10,15,0,1,33,1,15,99,72,0,203,67,2,3,0,5,80,0,3
"LGb",0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
"LGc",1,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGa",0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,47,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"LGh",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGd",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
