"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","X"
"1",45,119,23,2,0,2,26,5,255,163,180,43,41,1,149,81,2,0,1,10,81,21,84,16,0,2,8,45,108,20
"2",4,18,15,2,144,3,286,163,0,35,17,5,1,0,1,3,1,6,222,129,22,246,56,10,5,0,2,0,2,58
"3",374,55,65,2,0,1,3,9,0,0,19,163,1,1,39,7,3,1,1,0,5,1,1,0,3,122,1,32,38,114
"4",4,5,289,2,2,17,32,13,1,3,1,0,164,205,0,90,2,1,1,34,6,1,93,88,2,0,1,2,1,4
"5",2,0,2,130,425,190,2,3,2,0,3,0,27,0,5,0,92,9,2,0,1,0,1,1,1,0,48,0,0,2
"6",35,2,0,195,0,18,9,16,2,3,18,0,77,0,1,1,2,34,226,10,1,38,0,5,0,0,8,0,1,2
"LGb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGc",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0,0,0,0
"LGa",0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,1,0,0,0,0,0,0,0
"LGh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
