"1","2","3","4","5","6","7","8","Un","X"
"1",2,44,0,387,0,0,227,51,2,0
"2",6,4,479,1,0,113,0,239,28,0
"3",287,568,0,4,1,0,1,1,9,0
"4",25,2,0,0,448,1,0,0,1,0
"5",345,1,1,0,175,1,0,6,47,0
"6",315,3,0,0,2,1,0,0,20,0
"7",0,23,1,211,1,0,99,1,6,0
"8",4,236,1,0,0,1,1,0,15,0
"9",1,55,1,57,0,0,164,0,9,0
"10",272,0,2,0,0,0,0,0,0,0
"11",254,1,0,0,0,2,0,0,0,0
"12",1,0,1,0,0,214,0,0,8,2
"13",194,0,0,0,0,0,0,0,0,0
"14",2,0,0,2,0,288,0,0,0,0
"15",0,0,203,1,0,0,0,0,20,0
"1A",1,5,2,1,0,2,0,496,27,0
"24",0,0,0,117,0,0,0,0,0,0
"18",0,182,0,0,0,1,0,0,10,0
"1B",0,0,0,21,0,0,0,0,0,0
"20",227,0,2,0,0,0,0,0,2,0
"21",0,11,0,91,0,0,0,0,7,0
"22",74,1,0,0,0,1,0,0,0,0
"23",0,0,1,145,0,0,0,0,2,0
"LG2",0,0,0,0,1,0,0,1,0,0
"25",0,47,0,0,0,0,0,0,0,0
"26",0,126,1,0,0,0,0,0,0,0
"27",5,130,0,0,0,0,0,0,1,0
"28",3,0,137,0,0,0,0,0,6,0
"Un",44,72,43,47,13,14,4,21,31,9
"Z",11,3,252,2,12,237,0,1,1,0
"4A",1,2,1,4,0,1,2,0,16,163
"17",195,2,0,0,0,0,0,0,0,0
"19",1,183,1,1,0,1,6,1,10,1
