"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",1636,134,352,37,49,64,152,26,39,91,31,16,37,415,601,105,27,65,43,27,46,428,43,367,346,21,104,38,1,41,13,116
"2",163,195,33,14,922,123,103,34,35,343,896,11,139,73,34,97,23,63,81,677,55,9,34,28,11,39,13,35,5,186,128,118
"3",94,47,71,12,43,53,802,619,414,61,31,15,45,185,33,100,23,64,40,129,457,11,41,29,16,22,14,29,17,40,27,113
"4",80,476,40,15,37,45,1112,24,23,660,18,7,19,41,29,124,158,320,186,33,41,8,23,23,9,132,7,25,2,26,6,163
"5",90,238,411,11,39,48,307,33,26,220,21,815,19,44,42,80,14,43,31,17,39,31,21,22,11,14,108,32,1,28,7,85
"6",72,27,36,88,33,42,44,23,29,26,57,11,509,53,23,453,19,52,30,18,30,8,288,21,189,20,11,26,1,36,9,101
"7",66,25,23,5,34,169,43,16,24,26,23,6,17,16,81,126,148,106,158,16,21,8,19,15,6,27,13,17,0,24,8,134
"8",65,27,25,545,24,497,46,13,18,68,13,86,14,19,16,169,10,25,17,11,20,13,16,12,5,12,7,310,148,17,6,78
"Un",44,41,10,41,28,263,103,23,10,409,41,90,36,30,28,34,5,19,19,9,19,5,15,7,5,9,10,40,1,9,2,53
"X",12,3,6,4,2,4,9,8,8,5,8,5,2,8,4,3,2,2,1,1,2,1,2,1,1,0,5,4,2,0,0,336
