"1","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","2A","2B","Y","X"
"1",1668,2,41,7,2,4,2,1,3,3,0,0,2,1,1,4,2,3,0,0,1,0,1,0,4
"2",4,878,0,3,2,2,3,2,4,1,2,1,1,0,1,1,1,0,1,0,1,2,1,4,0
"3",1,2,3,1,3,725,0,7,3,1,5,1,0,3,1,0,1,2,0,163,2,1,2,0,0
"4",1,4,0,1,878,2,2,0,0,2,4,1,1,0,2,2,1,3,1,0,0,0,1,0,0
"5",3,2,593,3,2,0,3,2,2,3,1,0,0,1,1,3,0,3,0,1,0,2,1,0,3
"6",6,1,2,715,2,2,1,2,1,3,2,1,0,0,2,0,1,3,0,0,1,0,1,0,1
"7",2,1,3,0,2,1,0,1,1,2,1,0,530,498,0,0,0,1,0,0,0,3,1,0,1
"8",3,1,4,1,0,1,536,1,3,3,1,1,1,2,1,1,1,1,1,0,0,1,0,3,5
"9",5,1,2,5,2,2,1,1,621,2,1,0,2,1,0,1,1,0,1,0,0,0,0,0,3
"10",2,0,0,1,1,2,0,1,2,0,2,1,3,0,0,1,2,0,488,1,348,0,3,0,1
"11",2,46,0,3,7,2,1,0,1,5,879,0,4,1,0,0,0,2,1,0,0,2,0,0,1
"12",3,2,0,0,2,2,1,1,3,1,4,0,0,1,0,0,1,1,0,1,0,1,467,1,2
"13",4,0,0,1,1,1,0,0,1,2,2,2,0,0,1,0,1,2,0,0,3,540,72,0,1
"14",1,5,1,0,1,1,0,2,3,953,2,1,0,0,0,0,0,0,0,0,1,2,1,1,1
"15",2,2,2,3,1,1,1,636,1,3,0,2,1,1,1,5,0,0,0,0,1,4,1,0,0
"16",0,1,1,3,0,13,0,1,0,1,3,1,1,2,1,982,0,2,0,0,0,1,1,1,3
"17",2,1,0,0,0,1,0,0,1,1,0,235,1,0,0,1,0,1,0,0,1,0,0,0,0
"18",0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,1,241,1,0,0,0,1,0,0,1
"19",0,1,0,2,1,0,0,1,0,0,0,0,0,2,2,3,1,1096,1,0,2,0,0,0,0
"20",0,4,1,1,0,3,2,2,0,1,2,0,1,1,665,0,1,0,0,0,0,0,1,1,0
"X",4,2,1,3,2,2,2,1,2,1,3,0,5,0,0,1,0,1,1,0,1,1,0,11,582
