"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",38,132,122,269,207,1,0,443,211,121,123,0,5,1,40,61,263,2,0,1,6,0,10,367,86,19,0,283,4,314,0,2,0,2,1,0,3,1,1
"2",185,0,0,47,181,266,367,3,602,0,10,428,0,12,84,4,145,0,0,0,0,1,0,0,53,0,3,1,0,0,12,0,0,30,16,2,0,157,0
"3",89,70,93,82,3,1,123,2,1,2,18,0,168,2,0,0,2,0,0,369,2,0,0,0,0,280,0,0,144,1,1,0,1,46,92,0,0,0,0
"4",244,231,1,0,284,2,0,1,0,1,0,2,1,1,85,0,0,0,83,1,216,31,35,0,88,0,1,0,0,1,102,0,142,0,3,125,40,0,58
"5",1,0,140,1,0,0,0,0,0,0,0,0,104,1,69,70,18,230,49,0,104,0,0,17,18,0,0,1,0,0,0,137,0,0,0,0,0,0,1
"6",98,0,4,0,40,392,0,0,1,1,220,0,1,31,0,7,0,32,1,289,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"7",1,0,12,0,9,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,131,69,0,41,0,2,0,0,0,10,0,14,92,0,0,130,1,73
"8",1,114,0,0,2,0,0,0,2,193,0,1,0,181,90,136,1,120,0,18,0,0,82,1,0,0,235,0,0,1,0,0,0,0,1,0,0,0,2
"Un",52,2,1,12,25,10,0,1,18,63,1,0,0,26,2,1,13,71,0,12,0,0,1,2,2,19,21,10,0,0,4,0,9,0,0,2,0,0,23
"X",3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,255
