"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",568,189,350,3,1,226,489,1,5,2,1,3,4,480,36,84,343,17,0,3
"2",331,22,91,475,4,164,276,1,165,115,1,609,40,46,55,0,0,0,0,0
"3",94,444,2,277,1,90,84,2,2,0,0,1,1,279,0,157,0,1,0,2
"4",2,4,0,2,1,524,5,0,422,0,111,1,249,3,233,0,0,0,0,51
"5",0,289,17,0,0,0,0,455,18,0,0,0,0,17,48,0,34,0,0,1
"6",215,33,335,1,0,0,3,1,18,61,0,11,298,5,1,0,0,37,0,4
"7",6,0,49,2,0,0,0,1,0,0,116,4,167,0,156,0,0,0,0,55
"8",2,67,1,0,464,0,1,0,114,109,0,2,92,0,0,0,1,228,1,3
"Un",2,64,24,0,68,61,1,0,21,0,0,23,19,40,6,0,0,13,0,22
"X",2,2,2,0,1,2,1,1,0,0,0,2,0,0,1,0,0,0,0,240
