"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","X"
"1",17.7337055677,147.103088578,596.394005848,18.516827957,262.207142857,7.43311403509,621.272222222,5.63339228447,8.72063492063,3.22305602716,9.12166666667,3.05,393.111111111,327.439831754,9.9326754386,29.8333333333,3.21644736842,344.939757728,6.81490987083,5.11944444444,2.55811403509,277.25,2.54032258065,4.35555555556,162.266447368,73.0182926829,14.7463689466
"2",755.367891687,30.3915445665,15.7374136098,3.42092293907,35.3331529582,4.58310074428,3.99545454545,341.095996038,16.6428571429,3.07954867006,743.402777778,344.94047619,4.61111111111,4.79849925616,2.95285087719,3.16825396825,4.78627534746,1.82263993317,2.36204168638,314.723051948,1.89320175439,2.0,3.43174486804,105.5,50.7100848713,2.0243902439,10.5457828038
"3",12.7952161897,21.9142524143,11.6543644952,5.15856030171,469.002591036,3.43390787489,46.4288515406,3.41725263277,333.835642136,2.44139077533,5.42296037296,2.03031617505,3.875,7.4481124139,3.21296028533,203.942640693,280.994820667,2.88016917293,2.66559098796,92.7329059829,3.99096003899,0.5,211.771138807,3.27707749767,1.19651291691,0.824833702882,12.9156456164
"4",387.302779035,467.941483516,7.57797270955,3.3904036525,9.89047619048,1.4024122807,4.89978835979,2.0318336163,5.41587301587,128.981921336,4.62037037037,113.135251323,2.86111111111,255.733316413,327.424498747,1.26666666667,1.23645989975,4.26790309106,4.57101889339,6.25694444444,118.198245614,0.5,1.77419354839,4.95,1.19705513784,1.0,71.1280538937
"5",3.39699434927,23.3614468864,26.0181362497,0.893081157194,3.97878787879,401.537747779,1.49545454545,1.65227079796,1.72619047619,1.02727079796,1.8,0.833333333333,18.8333333333,1.27863408521,231.692703349,1.11111111111,105.160366826,1.91259398496,0.296707678287,1.27424242424,98.4038011696,5.5,5.57368035191,2.58333333333,5.72703349282,75.3760162602,5.36287492926
"6",6.50706259376,304.897435897,8.08148148148,63.9285155317,33.25,0.416666666667,9.41407407407,0.778013582343,2.75,0.851478494624,40.327037037,1.03703703704,1.61666666667,3.63214285714,2.42653508772,0.666666666667,0.573333333333,0.545582706767,326.031296992,0.833333333333,1.475,0.5,2.11962365591,408.70952381,1.77380952381,0.0243902439024,7.82684657432
"7",225.386685519,162.07965368,57.4708624709,1.88543010753,1.57023809524,1.83333333333,2.64666666667,2.26209677419,1.28982683983,129.433507031,11.29,1.08333333333,1.33333333333,1.5288961039,0.741666666667,0.589177489177,1.85857142857,5.77571428571,1.58461538462,1.25,0.075,0.5,1.55449657869,2.45,0.57380952381,1.46119733925,75.1920506912
"8",44.7762839171,2.61948051948,545.574941141,379.450164083,3.37380952381,0.98270123839,2.73737373737,0.847924582963,1.51470588235,2.0146434635,6.09090909091,2.34090909091,126.333333333,2.66667995747,1.51644736842,0.226984126984,0.932293802689,1.86939943441,57.8076561596,2.47619047619,76.8032894737,0.840909090909,0.158986175115,2.47222222222,0.146146616541,12.6910569106,10.0438005395
"Un",41.495003436,19.0833333333,113.734875066,35.4940322581,12.3595238095,1.20657894737,4.86352941176,1.01390067912,1.86904761905,0.517190152801,28.29,14.4261904762,4.325,51.762260263,3.59698963317,1.2,19.2898221906,1.03430451128,7.26078417197,1.43333333333,62.1602826511,8.0,0.258064516129,4.83333333333,13.3518170426,0.670731707317,27.7223606732
"X",5.77920393304,7.125,5.23703703704,1.59259259259,3.45833333333,2.50857843137,2.8962962963,0.0588450292398,2.37264239029,1.25,3.37037037037,0.099537037037,1.25,3.30555555556,3.50328947368,1.05555555556,1.0,0.892995356037,0.336622807018,1.6625,1.33333333333,0.833333333333,2.91666666667,0.277777777778,0,1.5,272.729297099
