"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",293,239,7,44,8,20,162,66,91,152,77,409,32,42,2,31,228,30,81,1,94
"2",31,48,25,269,23,175,86,65,147,141,360,29,298,65,151,35,307,85,64,1,100
"3",136,7,159,0,33,15,117,46,108,57,14,17,4,115,5,211,25,13,75,6,159
"4",151,199,209,216,53,19,318,4,10,5,5,4,94,12,119,3,79,407,3,0,20
"5",5,26,118,2,177,247,11,109,9,161,8,29,9,5,200,10,11,1,2,2,29
"6",8,57,17,19,105,140,40,12,70,2,318,36,48,11,1,3,11,26,4,0,7
"LGb",0,0,0,0,57,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"LGc",0,1,0,0,2,0,0,47,0,0,1,1,0,2,0,0,0,0,0,0,0
"LGa",0,1,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",1,1,0,0,0,0,110,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"LGh",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
