"1","2","3","4","5","6","LGb","LGc","LGa","LGf","LGh","LGg"
"1",42,20,493,0,11,2,0,0,0,0,0,0
"2",19,1,1,331,1,333,0,0,0,0,0,0
"3",684,34,0,25,3,0,0,0,0,1,0,0
"4",1,1,9,15,274,31,0,0,0,0,0,0
"5",432,19,2,2,1,1,0,0,0,0,0,0
"6",2,2,127,3,0,0,0,0,1,0,0,0
"7",153,13,1,5,0,0,0,0,0,0,0,0
"8",0,3,1,176,0,0,0,0,0,0,0,0
"9",0,0,234,1,0,0,0,0,0,0,0,0
"10",1,2,0,2,1,0,0,0,0,0,0,0
"11",0,2,1,0,9,0,0,48,0,0,0,0
"12",0,208,0,1,0,0,0,0,0,0,0,0
"13",10,118,0,20,0,0,0,0,0,0,0,0
"14",0,2,1,0,0,0,0,0,0,0,0,0
"15",0,1,2,0,1,0,40,0,0,0,0,0
"1A",3,2,0,2,505,0,0,0,0,0,0,0
"17",2,1,0,1,1,1,0,0,0,0,0,2
"18",0,171,0,0,0,0,0,0,0,0,0,0
"1B",0,0,9,0,0,0,0,0,0,0,0,0
"20",1,1,0,119,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,3,0
"22",0,1,0,0,0,1,0,0,1,0,0,0
"24",0,0,0,0,0,0,0,0,13,0,0,0
"26",0,0,0,112,0,0,0,0,0,0,0,0
"27",0,1,0,1,1,134,0,0,0,0,0,0
"28",0,0,0,0,1,0,0,0,0,0,0,0
"Un",8,75,6,9,6,21,0,0,1,3,0,0
"Z",18,332,0,3,1,0,0,0,0,0,0,0
"4A",1,0,2,2,1,0,0,1,0,0,0,0
"19",0,4,0,1,1,0,0,0,0,0,0,0
