"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","X"
"1",288,14,145,22,2,2,3,3,2,268,8,8,1,2,117,1,3,7,3,3,60,0,1,4,2,1,149
"2",49,39,21,238,19,9,8,7,311,4,10,4,92,11,4,57,5,5,122,106,3,3,160,2,2,16,17
"3",20,42,254,5,5,6,3,358,18,18,5,100,74,7,12,1,6,4,1,139,7,2,3,2,56,12,44
"4",6,28,36,3,3,426,3,5,4,4,3,1,16,2,4,0,106,1,0,3,3,2,0,4,1,83,11
"5",15,10,20,6,3,3,322,2,3,4,5,2,2,5,185,2,3,170,1,3,145,0,0,1,2,2,19
"6",0,1,5,2,0,7,1,2,0,0,2,0,2,2,3,1,0,0,1,1,0,303,0,0,185,0,0
"7",87,363,5,2,2,2,1,0,0,1,3,1,1,1,2,0,0,0,2,1,0,1,0,0,0,0,1
"8",301,6,6,0,1,0,1,1,0,1,2,54,3,1,2,0,0,1,1,2,1,1,1,0,0,1,1
"9",312,70,2,4,0,1,0,3,1,6,2,3,1,3,5,2,1,1,3,2,1,0,2,4,1,0,14
"10",1,1,1,1,1,1,175,0,1,1,1,0,1,1,0,0,3,179,2,0,0,0,0,0,1,1,6
"11",3,1,1,2,0,0,3,1,0,1,1,0,3,296,2,0,0,0,2,4,0,0,1,0,0,4,3
"12",8,19,2,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,277,0,0,0,0,2,0,0,19
"13",0,1,3,1,239,4,8,1,1,1,2,1,1,0,1,23,0,0,0,2,1,0,1,0,2,0,6
"14",3,0,2,2,1,1,1,1,2,0,30,0,1,2,0,1,0,0,0,0,0,0,0,287,2,0,2
"15",5,5,2,0,0,0,1,0,0,0,2,1,1,0,0,0,300,0,0,0,4,0,0,2,0,0,3
"1A",36,2,549,185,10,2,2,1,1,1,2,4,49,2,1,0,2,3,2,128,0,0,0,2,0,0,15
"24",0,1,3,0,0,0,1,0,0,1,1,0,0,4,102,0,0,1,0,2,45,0,0,0,0,0,0
"18",5,0,1,0,0,0,0,0,1,0,279,1,1,2,0,1,0,0,0,0,0,0,0,2,0,0,4
"1B",15,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,2,2,0,2,1,4,0,3,1,0,0,296,4,1,0,0,1,0,0,0,0,1,0,1,0,1
"21",5,15,0,0,0,0,2,0,0,0,1,143,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
"22",1,16,25,9,0,0,2,1,1,0,3,0,6,0,1,0,1,1,1,0,1,0,0,0,0,32,5
"23",58,119,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"25",59,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"26",44,1,4,1,1,2,2,1,0,0,1,49,0,1,1,1,2,1,2,51,0,1,2,0,1,0,0
"27",1,2,4,1,4,1,10,1,0,0,150,2,0,1,0,1,0,0,0,2,1,0,0,0,1,0,1
"28",0,0,1,0,176,1,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,5
"Un",279,172,290,85,226,88,80,8,64,84,110,67,95,121,88,14,112,66,144,98,55,53,40,38,79,27,221
"Z",12,277,20,10,108,14,45,2,4,23,4,1,4,11,21,149,7,1,4,2,7,1,31,2,1,11,60
"4A",12,8,2,4,2,4,2,1,1,7,2,4,3,18,4,4,1,3,0,4,1,1,2,1,0,2,256
"17",4,42,202,3,1,1,0,1,0,0,1,2,3,1,0,0,0,2,0,3,0,0,1,1,0,0,0
"19",3,6,5,3,4,2,1,0,0,1,207,0,0,0,5,1,2,0,3,2,0,0,0,67,0,0,3
