sim	gammaShape	gammaScale	cumAbsMean	cumRelMean	HS-MM_mean	HS-MM_min	HS-MM_max
ABC_100/ABCOpt/7/	1.0	37.2716445209	-1.37998841541	1.52643233038	-1.5314614492	-1.81649230277	-1.24069396515
ABC_200/ABCOpt/7/	1.0	12.3567162193	-1.61431458821	1.20756632127	-1.78208414845	-2.26500398057	-1.44279228406
ABC_201/ABCOpt/7/	1.0	17.7084624311	-1.52474282309	1.32072231413	-1.70931006733	-2.22152445062	-1.35775883585
ABC_300/ABCOpt/7/	1.0	149.826250574	-1.21236678792	1.80498959961	-1.25422789315	-1.4851901552	-1.06539790951
ABC_300/ABCOpt1/7/	1.0	86.832754656	-1.25996393449	1.72108978	-1.33337661777	-1.64296239439	-1.10562068854
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.39253528514	1.50740003035	-1.54416868712	-1.8507903732	-1.19895120786
ABC_300/ABCOpt11/7/	1.0	62.3390194451	-1.28697356102	1.67522595834	-1.38170357503	-1.66864824243	-1.13618439368
ABC_300/ABCOpt12/7/	1.0	24.4849356809	-1.45714941333	1.41308068555	-1.6180454453	-1.99619416948	-1.33964784374
ABC_300/ABCOpt13/7/	1.0	217.283361046	-1.19235407118	1.84147622568	-1.21023322086	-1.38778971716	-0.998597931653
ABC_300/ABCOpt14/7/	1.0	126.197599118	-1.21737292321	1.79597615756	-1.24918177998	-1.4657565144	-0.999973776418
ABC_300/ABCOpt15/7/	1.0	129.287130961	-1.22304678447	1.78581489207	-1.25116422742	-1.48862591801	-1.04853379656
ABC_300/ABCOpt16/7/	1.0	193.238656296	-1.19742357774	1.83216447282	-1.22003560326	-1.42677278393	-1.05217842539
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20073965537	1.82609893565	-1.23493301252	-1.43992223933	-1.01978773483
ABC_300/ABCOpt18/7/	1.0	74.9019377622	-1.27221792785	1.70012825078	-1.35190271396	-1.52648650235	-1.18706097066
ABC_300/ABCOpt19/7/	1.0	221.707781259	-1.1887336129	1.84815529689	-1.20307529171	-1.44835951148	-0.986735144299
ABC_300/ABCOpt2/7/	1.0	1.37222900344	-1.78337700309	1.01973686101	-1.80288623709	-2.35899325258	-1.42662724791
ABC_300/ABCOpt20/7/	1.0	139.628312288	-1.21776798037	1.79526678444	-1.26003147917	-1.44628737535	-1.08321600149
ABC_300/ABCOpt21/7/	1.0	239.303576117	-1.18608550828	1.85305589125	-1.20088629766	-1.41390639336	-0.991440119799
ABC_300/ABCOpt22/7/	1.0	69.3675366958	-1.27692654311	1.69214181823	-1.36540724765	-1.67667504067	-1.12455272121
ABC_300/ABCOpt23/7/	1.0	88.2497653495	-1.25711497213	1.72600009132	-1.3279945243	-1.57534499088	-1.02601023053
ABC_300/ABCOpt24/7/	1.0	17.5210916579	-1.53498788579	1.30726050749	-1.73130099282	-2.1639254841	-1.45012151093
ABC_300/ABCOpt25/7/	1.0	201.281704006	-1.19422900469	1.83802681492	-1.21030881875	-1.44560779997	-0.976794530056
ABC_300/ABCOpt26/7/	1.0	156.429058438	-1.20551273785	1.81740358313	-1.22651115836	-1.44423687982	-1.02463615833
ABC_300/ABCOpt27/7/	1.0	202.457071305	-1.19944194956	1.82847021312	-1.21671268566	-1.40784615226	-1.05218159711
ABC_300/ABCOpt28/7/	1.0	94.6507084455	-1.24527253721	1.7465616442	-1.30261074909	-1.60374250485	-1.05340180999
ABC_300/ABCOpt29/7/	1.0	229.843069417	-1.18634615318	1.85257296461	-1.19501852486	-1.41892899429	-0.993899190467
ABC_300/ABCOpt3/7/	1.0	87.2641329596	-1.25562976603	1.72856546176	-1.32536632559	-1.57943094377	-1.06666051921
ABC_300/ABCOpt30/7/	1.0	188.111957373	-1.1975779663	1.83188162942	-1.21116152566	-1.44287496013	-0.957765424943
ABC_300/ABCOpt31/7/	1.0	203.738255786	-1.19787900987	1.83133023624	-1.21011163	-1.48854314794	-0.995925016976
