sim	gammaShape	gammaScale	cumAbs
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.37624038839
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.38306515175
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.37651756241
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.38783331453
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.4227230275
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.47099738494
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.32703872239
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.33580597874
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.38825238467
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.3984089392
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.19668063134
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.21130527586
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.21187708523
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.23673644347
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15604653412
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20595690242
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18031594348
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.1787866653
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.19237593325
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18807588351
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20221209432
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20353799961
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.24488842442
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.19895900532
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18291416547
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18243961463
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17921057559
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16914254082
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18319108009
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16876571383
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16409055257
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18108823543
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15336069936
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.22616670203
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.21692096958
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20097143265
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18402179885
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16559685911
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.22404971637
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20472503019
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17506060965
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17057061684
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.184466308
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.22021976431
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20551524991
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18478943865
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17527322688
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15191534855
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17675314479
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16257630353
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16667527343
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.2578595373
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.14060535115
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16148633966
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16498555155
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18375729785
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.14529493748
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17827308928
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17700034591
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15254276182
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.21934075877
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.13626221599
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20704769831
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18264437293
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15650260695
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15970285966
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17658219577
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.22919698493
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.26819624857
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.19754516756
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16622309392
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16601277605
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.1592504101
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.13640590827
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16518973546
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15932931784
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15170159302
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16536947992
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.21209431813
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16042042596
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20002949921
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15900901826
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.19509850997
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20597251111
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18252137327
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.16551506082
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.19516728971
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20400591036
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20755065303
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17222109947
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.2227797551
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20352259816
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17525676471
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.21153695983
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15369092777
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17906963351
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.2200641339
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.19880848919
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17158523524
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.17589849774
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.20283190967
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.19183597043
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.21030636751
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.1960186201
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.23621395724
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18215461529
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.18254007257
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.19351068235
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.15025578345
ABC_460/ABCOpt17/7/	1.0	238.578008023	-1.19343407381
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22293540379
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.1664740314
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22224961349
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22164189455
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22035548569
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22336972193
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20050760188
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.19273474348
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20732186566
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.17725469967
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.16303942082
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.24829914867
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20481949445
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.15046015418
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.24813339907
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.19138678048
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22739904862
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22620531198
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.23959894692
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22837945017
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21090701404
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.198632824
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.23064207955
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20572858289
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22988149582
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.16699799668
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18650117989
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18401991826
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.2225479435
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.19397471522
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.14573301066
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.17252796987
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18231098091
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18516739559
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18479347945
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.19436725211
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.19927222457
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18340277465
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22237772861
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18266107504
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21583153094
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18727700107
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.19736644418
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.17018146973
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.14642198687
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20133903644
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21983793807
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21502539412
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21585125191
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20406094489
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.24088388564
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.1696586535
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.17323580123
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21902113682
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22511010469
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.1913543605
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.23637104118
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20920899813
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21520014576
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20386944774
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22975484115
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20184723003
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.16956722274
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.14727754742
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.25669354033
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18535145603
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21513460124
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18919750041
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20575069197
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.17159097111
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.17378133971
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21293838331
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21847189874
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.24022879828
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.24417410298
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18739084319
