sim	gammaShape	gammaScale	cumAbsMean	cumRelMean	HS-MM_mean	HS-MM_min	HS-MM_max
ABC_450/ABCOpt2/7/	1.0	209.7984803	0.522602306628	1.04673512937	-0.427566327369	-0.657255414153	-0.256037061066
ABC_450/ABCOpt20/7/	1.0	55.275738534	0.546556802865	1.07211187217	-0.433024252549	-0.614835935247	-0.300810915928
ABC_450/ABCOpt21/7/	1.0	170.459267282	0.530606915079	1.05514745801	-0.429666996946	-0.726611835669	-0.219493499322
ABC_450/ABCOpt22/7/	1.0	122.273365592	0.551110520065	1.07700509917	-0.436287626824	-0.695855273645	-0.291656198378
ABC_450/ABCOpt23/7/	1.0	155.568576369	0.537159075535	1.06208365217	-0.424136257602	-0.632774672053	-0.211294056999
ABC_450/ABCOpt24/7/	1.0	159.56994215	0.5308796127	1.05543523345	-0.430205302492	-0.617096797349	-0.271623995133
ABC_450/ABCOpt25/7/	1.0	46.8396552813	0.573588372143	1.10148799106	-0.457607605777	-0.681861200663	-0.307367173096
ABC_450/ABCOpt26/7/	1.0	215.845038812	0.52702848457	1.05137843377	-0.42533236589	-0.581999682352	-0.298299221189
ABC_450/ABCOpt27/7/	1.0	50.3665680782	0.57639315235	1.10458175942	-0.461758903373	-0.663774018068	-0.260121285716
ABC_450/ABCOpt3/7/	1.0	37.1043021398	0.564761101035	1.09180764631	-0.462897536625	-0.652103485017	-0.28558947523
ABC_450/ABCOpt4/7/	1.0	239.481449484	0.50453126995	1.02798942772	-0.410561416214	-0.627993027504	-0.238716455727
ABC_450/ABCOpt5/7/	1.0	245.785649323	0.480352715651	1.00343220493	-0.403814412034	-0.619011372592	-0.218920956873
ABC_450/ABCOpt6/7/	1.0	147.663390794	0.551522747048	1.07744916126	-0.428132722323	-0.590718308848	-0.241526144029
ABC_450/ABCOpt7/7/	1.0	245.201530067	0.502254380645	1.02565147223	-0.416102688384	-0.655457397991	-0.235987783597
ABC_450/ABCOpt8/7/	1.0	175.847021614	0.534676199401	1.05944990101	-0.408945774873	-0.572842317271	-0.299369586956
ABC_450/ABCOpt9/7/	1.0	61.5022183525	0.55898279617	1.0855170409	-0.462589257354	-0.699497249537	-0.308460459852
ABC_460/ABCOpt/7/	1.0	75.258505106	0.550537483469	1.07638811263	-0.451865529239	-0.737892404165	-0.268192120065
ABC_460/ABCOpt1/7/	1.0	189.365526586	0.508340758597	1.03191301045	-0.406144254546	-0.647309133456	-0.212794347765
ABC_460/ABCOpt10/7/	1.0	221.627020626	0.505167308879	1.02864347699	-0.397585969549	-0.589980422225	-0.21966966914
ABC_460/ABCOpt11/7/	1.0	79.9845760305	0.550486814353	1.07633357438	-0.434483389042	-0.684969890876	-0.282030799714
ABC_460/ABCOpt12/7/	1.0	214.661869294	0.529513820476	1.05399471216	-0.431982371509	-0.616623260079	-0.288705991818
ABC_460/ABCOpt13/7/	1.0	10.4507374256	0.576791359529	1.10502169939	-0.452480010323	-0.651439194422	-0.273220301335
ABC_460/ABCOpt14/7/	1.0	44.433314441	0.570318143896	1.09789175738	-0.447927600497	-0.79625881767	-0.310131457261
ABC_460/ABCOpt15/7/	1.0	223.15274682	0.499180739283	1.02250382728	-0.422663863938	-0.591458411256	-0.231932916299
ABC_460/ABCOpt16/7/	1.0	53.1956813144	0.564180741345	1.091174189	-0.457019256271	-0.630601596093	-0.307199409599
ABC_460/ABCOpt17/7/	1.0	238.578008023	0.508329523892	1.03190141728	-0.44064883574	-0.615592341531	-0.18882202666
ABC_460/ABCOpt18/7/	1.0	190.007399893	0.516652593138	1.04052584529	-0.41484121308	-0.621676133322	-0.213621904034
ABC_460/ABCOpt19/7/	1.0	247.192860162	0.505625136174	1.02911452587	-0.417486149372	-0.622576573368	-0.255254316606
ABC_460/ABCOpt2/7/	1.0	186.907884545	0.544091271797	1.06947180297	-0.433829920944	-0.657071147919	-0.270198884584
ABC_460/ABCOpt20/7/	1.0	144.673994581	0.534336582335	1.05909015484	-0.430152386453	-0.720241561544	-0.219433967389
ABC_460/ABCOpt21/7/	1.0	229.227384594	0.51434541656	1.0381279357	-0.416228412202	-0.614833692498	-0.293052660424
ABC_460/ABCOpt22/7/	1.0	108.064786712	0.538664581815	1.06368383002	-0.438417281252	-0.707070193493	-0.252474493634
ABC_460/ABCOpt23/7/	1.0	64.5151128326	0.555458024322	1.08169757632	-0.44777881526	-0.666728622898	-0.261627372426
ABC_460/ABCOpt24/7/	1.0	90.2299269947	0.555912282166	1.08218905755	-0.425751893143	-0.673541935072	-0.267769654401
ABC_460/ABCOpt25/7/	1.0	239.946978859	0.520749232892	1.04479724806	-0.442472543986	-0.679369513756	-0.270467650989
ABC_460/ABCOpt26/7/	1.0	223.762544893	0.534663193474	1.05943612198	-0.427563162691	-0.645522758195	-0.275106173614
ABC_460/ABCOpt27/7/	1.0	219.870187945	0.503738265923	1.0271745511	-0.414254510714	-0.576444076848	-0.245732433313
ABC_460/ABCOpt28/7/	1.0	224.656126901	0.52916062905	1.053622516	-0.4262024596	-0.679789658531	-0.292434203496
ABC_460/ABCOpt29/7/	1.0	223.193715566	0.532603106735	1.05725583823	-0.424379775939	-0.611739200636	-0.206127760585
ABC_460/ABCOpt3/7/	1.0	100.066077641	0.545987038761	1.0715011953	-0.433552756578	-0.593348185767	-0.273384400859
ABC_460/ABCOpt30/7/	1.0	214.017776308	0.515406634405	1.03923020036	-0.429698090056	-0.729395198195	-0.266090984769
ABC_460/ABCOpt31/7/	1.0	71.9272250798	0.555248457028	1.08147091164	-0.442665597427	-0.641206449244	-0.28335010419
ABC_460/ABCOpt32/7/	1.0	75.2297600425	0.554169502105	1.08030468254	-0.434612560443	-0.619033070534	-0.289356606143
ABC_460/ABCOpt33/7/	1.0	3.2711381937	0.573553242467	1.10144929683	-0.463975915155	-0.679296941184	-0.28358093337
ABC_460/ABCOpt34/7/	1.0	48.2672662333	0.55706077267	1.0834326554	-0.44816199981	-0.675157912991	-0.239452378068
ABC_460/ABCOpt35/7/	1.0	99.7126025433	0.5346689738	1.05944224588	-0.434151853366	-0.619381035646	-0.282358706884
ABC_460/ABCOpt36/7/	1.0	123.904008438	0.546575332114	1.07213173778	-0.455812077385	-0.654382338937	-0.3214155139
ABC_460/ABCOpt37/7/	1.0	84.7252160307	0.555872861312	1.08214639757	-0.444272173166	-0.596347567206	-0.245142753155
ABC_460/ABCOpt38/7/	1.0	118.995187063	0.533831439254	1.05855529788	-0.415914878509	-0.672143906596	-0.270499822551
ABC_460/ABCOpt39/7/	1.0	83.2747696144	0.54248243672	1.06775258256	-0.425296665812	-0.583554113353	-0.263288144619
ABC_460/ABCOpt4/7/	1.0	188.115590813	0.530755672406	1.0553044306	-0.421114834809	-0.608602077936	-0.259611229557
ABC_460/ABCOpt40/7/	1.0	37.6380756562	0.570632254896	1.09823667142	-0.456986160219	-0.631881378657	-0.284323208754
ABC_460/ABCOpt41/7/	1.0	77.4937342418	0.546608228703	1.07216700784	-0.434249904466	-0.630993689377	-0.289849889614
