sim	gammaShape	gammaScale	cumAbsMean	cumRelMean	HS-MM_mean	HS-MM_min	HS-MM_max
ABC_100/ABCOpt/7/	1.0	37.2716445209	-2.41081527388	1.11398115066	-2.28964833102	-2.66650530011	-1.84629562178
ABC_200/ABCOpt/7/	1.0	12.3567162193	-2.47013833099	1.04981836536	-2.61136730196	-3.03339607991	-2.20238128702
ABC_201/ABCOpt/7/	1.0	17.7084624311	-2.4707298185	1.04919759452	-2.63497726034	-3.00260165561	-2.24926545546
ABC_300/ABCOpt/7/	1.0	149.826250574	-2.33428710527	1.20257896662	-2.01014044835	-2.26868354132	-1.80794936555
ABC_300/ABCOpt1/7/	1.0	86.832754656	-2.35865224066	1.17363204713	-2.09005291769	-2.54990288215	-1.74891278068
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.42869082416	1.09424504697	-2.34405088993	-2.89100088395	-1.91602224353
ABC_300/ABCOpt11/7/	1.0	62.3390194451	-2.37370681325	1.15609584947	-2.15761865605	-2.43338401361	-1.88922421337
ABC_300/ABCOpt12/7/	1.0	24.4849356809	-2.4489227834	1.07232877789	-2.50279522435	-2.87707942095	-2.09260808417
ABC_300/ABCOpt13/7/	1.0	217.283361046	-2.32274846153	1.21653546155	-2.00380375355	-2.39366998241	-1.77577098311
ABC_300/ABCOpt14/7/	1.0	126.197599118	-2.34011422745	1.19559176945	-2.05768369715	-2.29031686917	-1.73676431308
ABC_300/ABCOpt15/7/	1.0	129.287130961	-2.33538308883	1.20126168185	-2.03602025413	-2.4516809234	-1.74212961426
ABC_300/ABCOpt16/7/	1.0	193.238656296	-2.32478743945	1.21405749972	-2.02620904091	-2.40651923553	-1.74708515364
ABC_300/ABCOpt17/7/	1.0	172.896820779	-2.32477092282	1.21407755203	-1.99737256671	-2.37931434413	-1.78774688495
ABC_300/ABCOpt18/7/	1.0	74.9019377622	-2.36353687942	1.16791325702	-2.13129003497	-2.46057683905	-1.8745931338
ABC_300/ABCOpt19/7/	1.0	221.707781259	-2.32726917264	1.21104826853	-2.01673190144	-2.28471895442	-1.79371690476
ABC_300/ABCOpt2/7/	1.0	1.37222900344	-2.25666853757	1.2996395506	-1.91088968166	-2.2091384915	-1.64725049583
ABC_300/ABCOpt20/7/	1.0	139.628312288	-2.33769234181	1.19849086522	-2.04521298892	-2.32253677279	-1.774316744
ABC_300/ABCOpt21/7/	1.0	239.303576117	-2.31967344016	1.22028209163	-1.9868762897	-2.33886454986	-1.70937903743
ABC_300/ABCOpt22/7/	1.0	69.3675366958	-2.36663242926	1.16430351328	-2.10848013861	-2.42022065644	-1.8180085998
ABC_300/ABCOpt23/7/	1.0	88.2497653495	-2.36673332687	1.16418604376	-2.0939127954	-2.5544358002	-1.7996510688
ABC_300/ABCOpt24/7/	1.0	17.5210916579	-2.45997163978	1.0605459843	-2.62139750375	-3.02737937096	-2.31728397017
ABC_300/ABCOpt25/7/	1.0	201.281704006	-2.32040443162	1.21939040179	-1.99544790466	-2.3138039766	-1.70255307236
ABC_300/ABCOpt26/7/	1.0	156.429058438	-2.3312964468	1.20618085292	-1.99714367856	-2.40238622028	-1.76757393435
ABC_300/ABCOpt27/7/	1.0	202.457071305	-2.33253800228	1.20468424173	-2.02440427798	-2.384997069	-1.65783515178
ABC_300/ABCOpt28/7/	1.0	94.6507084455	-2.353698866	1.17945990825	-2.0786882361	-2.47814747906	-1.78622725503
ABC_300/ABCOpt29/7/	1.0	229.843069417	-2.31694853497	1.22361177912	-1.98896515126	-2.27086890804	-1.80498066197
ABC_300/ABCOpt3/7/	1.0	87.2641329596	-2.36460530472	1.16666609532	-2.1093855564	-2.52904597532	-1.84203876449
ABC_300/ABCOpt30/7/	1.0	188.111957373	-2.33219250034	1.20510053438	-1.98921307094	-2.31402874391	-1.78473965091
ABC_300/ABCOpt31/7/	1.0	203.738255786	-2.32501260567	1.21378416576	-2.00402343517	-2.33387720838	-1.7999939793
ABC_300/ABCOpt32/7/	1.0	9.60298169879	-2.43629834564	1.0859521385	-2.49516414391	-3.21194538997	-2.12161671638
ABC_300/ABCOpt33/7/	1.0	205.940008678	-2.32628708688	1.21223820601	-2.00767148018	-2.28190785325	-1.78178881492
ABC_300/ABCOpt34/7/	1.0	238.621221713	-2.31520819322	1.22574313588	-1.98496441408	-2.27160564029	-1.75029951953
ABC_300/ABCOpt35/7/	1.0	183.226108939	-2.32863437475	1.20939607093	-2.03777336795	-2.34767456549	-1.81848253937
ABC_300/ABCOpt36/7/	1.0	111.619632843	-2.35244910459	1.18093487321	-2.06823633389	-2.384997069	-1.8089092712
ABC_300/ABCOpt37/7/	1.0	154.918361806	-2.33366773915	1.20332403401	-2.02185502564	-2.35070342346	-1.78622725503
ABC_300/ABCOpt38/7/	1.0	68.5121344976	-2.37122871534	1.15896432088	-2.11876493138	-2.41111626164	-1.81186865692
ABC_300/ABCOpt4/7/	1.0	205.966650615	-2.32216242905	1.21724859979	-1.99299427985	-2.26007926329	-1.68654275922
ABC_300/ABCOpt5/7/	1.0	106.438750665	-2.35123618298	1.18236812368	-2.07708640302	-2.55424203666	-1.75016050428
