sim	gammaShape	gammaScale	cumAbs
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.487572427286
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.573789720258
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.485162651132
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.456013867486
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.510915382273
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.57321025007
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.642878174721
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.603090456657
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.550329228011
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.443725045687
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.527670842118
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.480232763096
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.485644664601
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.511981388993
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.451828008014
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.518231550465
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.436809293206
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.489285687101
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.425209787845
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.397095758039
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.473940444231
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.40227526649
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.394024461695
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.448236883027
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.400738401386
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.555047891759
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.469645354451
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.542710316345
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.538209707402
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.505677687434
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.503594820708
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.463450226363
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.518705701564
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.601420864596
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.574937833463
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.562175289785
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.580084901437
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.422579879666
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.430839241056
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.556076455206
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.449553046071
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.490418777568
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.46876885796
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.538540076032
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.535892841191
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.43388906241
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.536268323785
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.56796546406
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.589284298091
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.510691252479
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.511276125794
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.522383254681
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.447615840348
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.538648022936
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.475164102702
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.502730143732
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.572539389381
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.735155446488
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.535664225194
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.494737054337
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.674172153792
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.417600601049
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.562075996664
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.735912292732
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.441866350354
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.37916801361
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.483836188311
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.45045812043
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.532814176258
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.525677003278
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.563012648436
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.552115284987
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.466117357742
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.452964313948
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.535360771902
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.473855090936
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.481069753846
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.613542204937
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.454435132275
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.477205860475
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.590735261146
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.507346165912
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.537881195284
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.479376704342
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.503661369904
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.527026355996
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.471936560435
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.544630712335
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.45310874327
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.424547261803
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.445984150832
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.411052777411
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.506533985732
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.601987315577
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.692604977896
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.577625437603
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.467337690487
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.541431589347
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.56162032895
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.480010458678
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.487293281545
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.46661812205
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.66622236408
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.495104272829
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.58347217482
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.490420157365
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.524798031485
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.470024827697
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.465955316792
ABC_460/ABCOpt17/7/	1.0	238.578008023	-0.457798504862
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.595134245975
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.483835915241
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.476960176382
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.490180598828
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.611843268458
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.556294400275
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.491689050672
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.510906253553
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.53007107915
